Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Max Meyer","MIA",4,3,7,3.92575,14,14,0,0,,72,310,68,34,32,9,25,,3,74,9.14283,3.13223,2.91896,1.10684,0.237499,0.0813642,0.15613436698913574,0.241123,1.28414,0.29639,0.726392,,,3.85786,1.21637,1.15068,281.45001220703125,,,,,,,309.30000000000007,4.295833333333334,307,4.263888888888889,,,,,,,,,,,,,,,,,,,"Max Meyer","27474",676974
"Foster Griffin","WSN",4,3,7,3.96365,13,13,0,0,,72,303,68,34,31,10,21,,3,69,8.7193,2.61171,3.33854,1.20138,0.229022,0.0685994,0.1604221686720848,0.243866,1.24012,0.292319,0.720732,,,3.90814,1.21584,1.12742,999,,,,,,,299.00000000000006,4.152777777777779,296,4.111111111111111,,,,,,,,,,,,,,,,,,,"Foster Griffin","16432",656492
"Gerrit Cole","NYY",6,5,8,4.0238,15,15,0,0,,87,359,78,42,39,13,25,,4,81,8.45907,2.62329,3.22461,1.32281,0.226642,0.0702851,0.15635677427053452,0.23717,1.19545,0.277835,0.714506,,,4.14328,1.21324,1.23843,232.89999389648438,,,,,,,356.1000000000001,4.093103448275863,341,3.9195402298850577,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Cade Cavalli","WSN",4,4,7,3.8139,13,13,0,0,,67,291,64,31,28,7,24,,3,65,8.64218,3.20021,2.70051,0.981386,0.22147,0.0820105,0.13945937156677246,0.24205,1.30742,0.294362,0.731386,,,3.81278,1.18231,1.11553,305.2200012207031,,,,,,,292.29999999999995,4.362686567164179,293,4.373134328358209,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Cam Schlittler","NYY",5,3,7,3.40334,12,12,0,0,,61,259,51,25,23,7,23,,3,69,10.1656,3.38545,3.00274,1.0401,0.265381,0.0883795,0.17700137943029404,0.218934,1.21517,0.279627,0.761503,,,3.62084,1.18055,1.34404,116.62999725341797,,,,,,,292.70000000000005,4.798360655737706,274,4.491803278688525,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Kyle Harrison","MIL",4,2,7,3.66889,13,13,0,0,,67,289,58,30,27,9,24,,3,77,10.317,3.15937,3.26551,1.26731,0.266707,0.081674,0.1850333884358406,0.222808,1.21993,0.278681,0.757419,,,3.8386,1.17483,1.18114,446.55999755859375,,,,,,,307.29999999999995,4.586567164179104,291,4.343283582089552,,,,,,,,,,,,,,,,,,,"Kyle Harrison","27758",690986
"Max Fried","NYY",4,3,6,3.53735,10,10,0,0,,61,252,54,26,24,6,19,,3,56,8.31694,2.80801,2.96187,0.888568,0.224205,0.0756972,0.14850779622793198,0.235669,1.19933,0.287568,0.7257,,,3.6106,1.17362,1.23721,50.04999923706055,,,,,,,283.20000000000005,4.642622950819673,273,4.475409836065574,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Griffin Jax","TBR",3,1,6,3.32884,11,11,0,0,,52,214,44,21,19,5,17,,2,57,10.0325,3.03742,3.30298,0.925202,0.268137,0.0811803,0.18695669621229172,0.225176,1.18733,0.292202,0.750762,,,3.36215,1.1656,1.23976,149.2100067138672,,,,,,,265.9,5.113461538461538,252,4.846153846153846,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Jared Jones","PIT",4,3,6,3.64775,16,11,0,0,,65,279,59,29,27,8,23,,3,69,9.48825,3.103,3.05776,1.0595,0.247773,0.0810308,0.16674213111400604,0.232005,1.2411,0.289291,0.741827,,,3.70211,1.15738,1.20364,714.77001953125,,,,,,,289.20000000000005,4.44923076923077,281,4.323076923076923,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Freddy Peralta","NYM",6,5,7,3.99102,14,14,0,0,,81,339,71,39,36,11,30,,4,82,9.15783,3.3609,2.72482,1.21546,0.242413,0.088965,0.1534482017159462,0.232346,1.25098,0.282929,0.721945,,,4.08817,1.1418,1.01759,56.36000061035156,,,,,,,341.4999999999999,4.216049382716048,324,4,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
