Team,Player,Positions,Injury
Houck Tuah,Kevin McGonigle,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Houck Tuah,Noah Schultz,"P,SP,BE,IL",ACTIVE
Houck Tuah,Payton Tolle,"P,SP,BE,IL",ACTIVE
Houck Tuah,Wyatt Langford,"LF,CF,OF,UTIL,BE,IL",ACTIVE
Houck Tuah,Braxton Ashcraft,"P,SP,RP,BE,IL",ACTIVE
Houck Tuah,Jake Bauers,"1B,1B/3B,IF,LF,OF,UTIL,BE,IL,RF",ACTIVE
Houck Tuah,Dominic Canzone,"RF,OF,UTIL,BE,IL,DH",ACTIVE
Houck Tuah,Trent Grisham,"CF,OF,UTIL,BE,IL",ACTIVE
Houck Tuah,TJ Rumfield,"3B,1B/3B,IF,UTIL,BE,IL,1B,DH",ACTIVE
Houck Tuah,Robert Suarez,"P,RP,BE,IL",FIFTEEN_DAY_DL
Houck Tuah,Hogan Harris,"P,RP,BE,IL",ACTIVE
Houck Tuah,Peter Lambert,"P,RP,BE,IL,SP",ACTIVE
George Clooneys,Kyle Schwarber,"DH,UTIL,BE,IL",ACTIVE
George Clooneys,Pete Alonso,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
George Clooneys,Freddy Peralta,"P,SP,BE,IL",ACTIVE
George Clooneys,Dylan Cease,"P,SP,BE,IL",ACTIVE
George Clooneys,Carter Jensen,"C,DH,UTIL,BE,IL",ACTIVE
George Clooneys,Riley Greene,"LF,OF,DH,UTIL,BE,IL",ACTIVE
George Clooneys,Seiya Suzuki,"RF,OF,DH,UTIL,BE,IL",ACTIVE
George Clooneys,Andy Pages,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
George Clooneys,Brandon Lowe,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
George Clooneys,Trey Yesavage,"P,SP,BE,IL",ACTIVE
George Clooneys,Paul Skenes,"P,SP,BE,IL",ACTIVE
George Clooneys,Grant Taylor,"P,RP,BE,IL,SP",ACTIVE
George Clooneys,Garrett Crochet,"P,SP,BE,IL",SIXTY_DAY_DL
George Clooneys,Casey Mize,"P,SP,BE,IL",ACTIVE
George Clooneys,Nick Kurtz,"1B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
George Clooneys,Jacob Wilson,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
George Clooneys,Eury Perez,"P,SP,BE,IL",ACTIVE
George Clooneys,Josh Jung,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
George Clooneys,Logan Henderson,"P,SP,BE,IL",ACTIVE
George Clooneys,Kade Anderson,"P,SP,BE,IL",ACTIVE
George Clooneys,Sean Burke,"P,SP,BE,IL",ACTIVE
George Clooneys,Jung Hoo Lee,"CF,OF,UTIL,BE,IL,RF",ACTIVE
George Clooneys,Carson Benge,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
George Clooneys,Dylan Lee,"P,RP,BE,IL",ACTIVE
George Clooneys,Foster Griffin,"P,SP,BE,IL",ACTIVE
George Clooneys,Sam Antonacci,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
George Clooneys,Denzer Guzman,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
George Clooneys,Henry Bolte,"CF,RF,OF,UTIL,BE,IL",ACTIVE
George Clooneys,Kody Clemens,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
