Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Justin Sterner","ATH",1.08836,0.919579,0,4.78976,29,0,1.014,5.979,,20.4248,88.3422,18.874,11.74,10.87,3.615,7.45389,0.449694,1.4391,20.096,8.8551,3.28449,2.69604,1.59292,0.227479,0.0843752,0.14310334622859955,0.237561,1.28902,0.273762,0.685944,,,4.74496,0.0311992,-0.141376,547.0499877929688,,,,,,,94.4,4.720000000000001,93,4.65,,,,,,,,,,,,,,,,,,,"Justin Sterner","27694",686993
"Pierce Johnson","CIN",0.865202,0.944882,0,4.7202,29,0,0.503,5.7883,,19.0861,82.9383,18.2217,10.75,10.01,3.07019,7.90351,0.373637,0.398295,19.1128,9.01262,3.72689,2.41827,1.44774,0.230446,0.0952939,0.13515246659517288,0.244139,1.36881,0.288856,0.704414,,,4.49895,0.0303157,-0.0940529,999,,,,,,,99.89999999999999,5.257894736842105,99,5.2105263157894735,,,,,,,,,,,,,,,,,,,"Pierce Johnson","13435",572955
"Logan VanWey","HOU",0.503852,0.397165,0,4.36149,14,0,0,0.2944,,8.70803,37.7345,7.51806,4.54,4.22,1.28601,3.99695,0.275666,0.521638,9.1985,9.50692,4.13097,2.30138,1.32913,0.243769,0.105923,0.13784604519605637,0.226339,1.32234,0.274161,0.717993,,,4.46957,0.0297251,-0.0232971,999,,,,,,,36.500000000000014,4.055555555555557,35,3.888888888888889,,,,,,,,,,,,,,,,,,,"Logan VanWey","31884",701121
"Yoendrys Gómez","MIN",1.0165,1.02227,0,4.76057,31,0,11.614,1.9051,,20.3421,90.306,18.6835,11.54,10.76,2.5413,10.2617,0.482813,1.59131,18.3296,8.10959,4.54012,1.78621,1.12435,0.202972,0.113633,0.08933871239423752,0.238149,1.42292,0.280334,0.685585,,,4.67566,0.0296616,-0.141435,999,,,,,,,129.7,6.484999999999999,129,6.45,,,,,,,,,,,,,,,,,,,"Yoendrys Gomez","22872",672782
"Hunter Bigge","TBR",0.504694,0.536744,0,4.36955,15,0,0,0.349,,10.4221,45.0527,9.00702,5.44,5.06,1.4072,4.88152,0.226942,0.464479,9.99222,8.62875,4.21542,2.04695,1.21518,0.221789,0.108351,0.11343811452388763,0.226838,1.3326,0.268475,0.708862,,,4.48228,0.0294703,0.0304305,999,,,,,,,43.300000000000004,4.33,42,4.2,,,,,,,,,,,,,,,,,,,"Hunter Bigge","26259",685801
"Paul Blackburn","NYY",1.01149,0.795242,0,4.92919,27,0,0,4.86,,18.8428,82.9321,20.2338,11.13,10.32,2.44356,6.89197,0.406997,0.637203,14.5347,6.94229,3.29185,2.10894,1.16713,0.175261,0.0831038,0.09215682744979858,0.268342,1.43958,0.304499,0.674791,,,4.44753,0.0292427,-0.0940162,999,,,,,,,90,4.7368421052631575,95,5,,,,,,,,,,,,,,,,,,,"Paul Blackburn","14739",621112
"Dedniel Núñez","NYM",0.251257,0.188898,0,4.65109,7,0,0,0.313,,4.95368,21.7145,4.78737,2.77,2.56,0.701457,2.087,0.193199,0.198891,5.15173,9.35982,3.79173,2.46848,1.27443,0.237249,0.0961112,0.1411374732851982,0.246409,1.38773,0.30098,0.696562,,,4.25091,0.0290301,-0.0353358,999,,,,,,,15.7,3.1399999999999997,16,3.2,,,,,,,,,,,,,,,,,,,"Dedniel Nunez","23055",673380
"Tanner McDougal","CHW",0.206513,0.455528,0.313976,5.0609,1,1,0,0,,4.926,21.545,4.90445,2.97,2.77,0.819529,2.00143,0.0128513,0.268021,4.02035,7.34534,3.65669,2.00874,1.49731,0.186602,0.0928952,0.09370729327201843,0.254439,1.40192,0.282974,0.683486,,,5.01828,0.0290149,0.0160413,999,,,,,,,13.7,2.7399999999999998,14,2.8,,,,,,,,,,,,,,,,,,,"Tanner McDougal","sa3017471",701780
"AJ Smith-Shawver","ATL",0.332926,0.255376,0,4.52195,9,0,0,0.3261,,6.56797,28.4603,5.73054,3.55,3.3,0.947843,3.00729,0.176037,0.321455,7.03533,9.64043,4.12086,2.33942,1.29882,0.247198,0.105666,0.1415320560336113,0.228022,1.33037,0.278901,0.700032,,,4.35987,0.028967,-0.0293138,999,,,,,,,28.900000000000013,4.128571428571431,27,3.857142857142857,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
"Wyatt Mills","LAD",0.485849,0.196597,0,4.43474,11,0,0,0.3346,,7.40742,32.4062,6.69622,3.92,3.65,0.896454,3.39617,0.237781,0.525733,7.55877,9.18389,4.12634,2.22567,1.08919,0.233251,0.1048,0.12845074385404587,0.235085,1.36247,0.289568,0.698443,,,4.22645,0.0287988,-0.0293454,999,,,,,,,25.300000000000015,3.6142857142857165,26,3.7142857142857144,,,,,,,,,,,,,,,,,,,"Wyatt Mills","20010",670090
